Question,Answer,Category,Crop,QueryType
asking about the control measure to control immature fruit drop problem in coconut at the age of 5 years,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk.",General,General,General
asking for the stages of irrigation of potato.,"replied that the three numbers of irrigations has to be adopted. ist at 25 days (stolon formation stage) , 2nd at 60 days ( tuber formation stage) and the 3rd irrigation at 80 days ( tuber development stage). also replied that in case of mulching materials in furrows, only two numbers of irrigation has to be adopted . one at 25 days and the other at 60 days.",General,General,General
asking about the control measure to control immature fruit drop problem in coconut,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk",General,General,General
asked about the control measure of fungal wilt of brinjal.,suggested to drench the soil with captan @ 3gm per liter of water.,General,General,General
asking about treatment of diarrhoea in cow.,suggested to administer neblon powder @ 50 gm twice daily for five days.along with that administer steclin bolus @2 bolus twice daily for five days.,General,General,General
asking about the control measure to control late blight disease in potato.,suggested to apply dithane m-45@2.5gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval,General,General,General
asking about treatment of general weakness of a cow.,"as already deworming is done ,suggested him to administer live 52 vet @1cup twice daily for 1 month.administer agrimin forte @40gm twice daily.also administer intacal @100ml daily.",General,General,General
asking about treatment of white diarrhoea of poultry.,suggested him to administer tetracycline powder @4gm per 4ltr of water 2-3 times dailyfor 5-6 days.,General,General,General
asking about fertilizer dose for tomato.,"suggested about the fertilizer dose like-urea@22kilogram/bigha,ssp@50 kilogram/bigha,mop@13 kilogram/bigha,fym@2 quintal/bigha.",General,General,General
asking about the control measure to control fruit rot in chilli.,suggested to spray mancozeb@2gram/liter of water.,General,General,General
asking about treatment of diarrhoea in cow.,suggested to administer 3 care bolus @ 2 bolus twice daily for five days.,General,General,General
asking about the financial assistance for dairy farming.,suggested to contact with nearest s.b.i branch for loans & finances.,General,General,General
asking about the control measure to control fruit rot disease in french bean.,suggested to spray bavistin@2gram/liter of water.,General,General,General
asking for the control measure against rhinoceros beetle in coconut trees.,advised to apply malathion 5% dust mixed with equal quantity of sand at the axil of the leaves at the crown as a control measure against rhinoceros beetle in coconut trees.,General,General,General
asking about treatment of cough of a cow.,suggested him to administer caflon powder @25 gm daily for 5 days.,General,General,General
asking about financial assistance for a dairy farming.,suggested him to contact nearest s.b.i. branch manager for details information.,General,General,General
asking  that how to avail kisan credit card facility,"suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area.",General,General,General
asking about the control measure of fruit borer of brinjal.,suggested mr malik to spray malathion 50ec@2ml/litre of water for controlling fruit borer of brinjal.,General,General,General
asking about treatment of general weakness of a cow.,suggested him to administer ferolive @1cup twice daily.along with that also administer agrimin forte @25gm twice daily for 1 month.,General,General,General
asked about the control measure of root rot of brinjal.,suggested to drench the soil with captaf @ 2gm per liter of water and to go for seed treatment before sowing.,General,General,General
asking about financial assistance for broiler farming.,"suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area.",General,General,General
asking about financia assistance for broiler farming.,"suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area.

suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area.

suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area.",General,General,General
asking about the control measure to control flower drop problem in coconut at the age of 3 years.,"suggested to apply recommended fertilizer like-urea@900 gram/plant,ssp@1.5 kilogram/plant,mop@1050 gram/plant,borax@25gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk.",General,General,General
asking about the control measure to control fruit rot in bottle gourd.,suggested to apply carbendazim@2gram/liter of water.,General,General,General
asking about the control measure to control fruit rot in bottle gourd.,suggested to spray bavistin@2gram/liter of water at 7 days interval.,General,General,General
